conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,riaditeľ inštitúcie vysokoškolského vzdelávania/riaditeľka inštitúcie vysokoškolského vzdelávania,"riaditeľ inštitúcie vysokoškolského vzdelávania
rektorka vysokej školy
riaditeľka inštitúcie vysokoškolského vzdelávania
rektor vysokej školy",
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,supervízor izolačných prác/supervízorka izolačných prác,"supervízorka izolačných prác
supervízor izolačných prác",
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,špecialista na demontáž/špecialistka na demontáž,"špecialistka na demontáž
špecialista na demontáž",
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,likvidátor poistných udalostí/likvidátorka poistných udalostí,"likvidátorka poistných udalostí
likvidátor poistných udalostí",
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,manažér vývoja produktov v odevnom priemysle/manažérka vývoja v odevnom priemysle,"manažér vývoja v odevnom priemysle
manažérka vývoja produktov v odevnom priemysle",
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,operátor gravitačného separátora/operátorka gravitačného separátora,"operátor gravitačného separátora
operátorka gravitačného separátora",
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,biomedicínsky inžinier/biomedicínska inžinierka,"biomedicínsky inžinier
biomedicínska inžinierka",
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,zákonný zástupca/zákonná zástupkyňa,"zákonný zástupca
sociálna kurátorka
zákonná zástupkyňa
sociálny kurátor",
Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,7318,tkáč/tkáčka,"tkáč
tkáčka",
Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,7122,obkladač/obkladačka,"obkladačka
obkladač",
Occupation,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420,vedúci predajne obuvi a koženej galantérie/vedúca predajne obuvi a koženej galantérie,"vedúci predajne obuvi a koženej galantérie
vedúca predajne obuvi a koženej galantérie",
