conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/1bb2aa65-1524-4961-8dba-ad25f34f195f,8332,operatore di veicoli antincendio/operatrice di veicoli antincendio,"operatrice di veicoli antincendio
conduttrice di mezzi antincendio
operatore di veicoli antincendio
conduttore di mezzi antincendio",
Occupation,http://data.europa.eu/esco/occupation/1bb7c072-38c8-430a-b943-76bfa312a5f4,3435,attore sostituto/attrice sostituta,"attore sostituto
attrice sostituta",
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,2310,docente universitario di infermieristica/docente universitaria di infermieristica,"professore universitario di infermieristica
docente di scienze infermieristiche
docente universitaria di infermieristica
docente universitario di infermieristica
professoressa universitaria di infermieristica",
Occupation,http://data.europa.eu/esco/occupation/1bcc6461-4cc2-4732-a6d0-901687046443,8342,conducente di spazzaneve,,
Occupation,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d,2142,geoingegnere,"consulente in geologia
ingegnere geologico",
Occupation,http://data.europa.eu/esco/occupation/1c1e86f9-6347-42d6-aa6e-c95b138bf640,6130,agricoltore di colture miste/agricoltrice di colture miste,"agricoltore di colture miste
agricoltrice di colture miste",
Occupation,http://data.europa.eu/esco/occupation/1c25fdb4-c6e2-4118-99a5-519e9657a2bd,7543,ispettore di attrezzature elettriche/ispettrice di attrezzature elettriche,"operatore di controllo di attrezzature elettriche
ispettore di attrezzature elettriche
operatore di controllo qualità di apparecchi elettrici
ispettrice di attrezzature elettriche
ispettore di apparecchiature elettriche
operatrice di controllo di attrezzature elettriche
operatrice di controllo qualità di apparecchi elettrici
ispettrice di apparecchiature elettriche",
Occupation,http://data.europa.eu/esco/occupation/1c36dd08-f6a7-43f2-a889-beebedb71c25,2144,ingegnere progettista di attrezzature,progettista di attrezzature,
Occupation,http://data.europa.eu/esco/occupation/1c5ec3d2-a241-4ba2-ba20-e4da565383a6,8122,addetto alla burattatura/addetta alla burattatura,"addetto alla burattatura
addetta alla burattatura",
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,2112,meteorologo/meteorologa,"meteorologa
climatologa
meteorologo
climatologo",
Occupation,http://data.europa.eu/esco/occupation/1c948509-4015-40b0-b380-105fc85782a5,1431,curatore di giardino zoologico/curatrice di giardino zoologico,"curatore di mammiferi
curatore generale di giardino zoologico
curatrice di giardino zoologico
curatrice di erpetologia
curatrice di rettili
curatrice di acquario
curatrice zoologica
curatore di rettili
curatrice di mammiferi
curatore zoologico
curatrice generale di giardino zoologico
curatore di giardino zoologico
curatrice di invertebrati
curatore di erpetologia
curatore di acquario
curatore di invertebrati",
Occupation,http://data.europa.eu/esco/occupation/1c9937fe-5eaa-4f7e-ba31-77e6e7db022c,3118,disegnatore aerospaziale/disegnatrice aerospaziale,"disegnatrice aerospaziale
disegnatore aerospaziale",
Occupation,http://data.europa.eu/esco/occupation/1cd93859-d796-4559-90c4-4b4597cd6e54,5411,vigile del fuoco aziendale,,
Occupation,http://data.europa.eu/esco/occupation/1ce76c3b-edee-41b4-88c2-5db9b70d8bf0,8155,conciatore/conciatrice,"conciatrice
conciatore",
Occupation,http://data.europa.eu/esco/occupation/1d188cae-90e9-4950-9666-3e1a9500de50,7536,tagliatore a mano di articoli di pelletteria/tagliatrice a mano di articoli di pelletteria,"tagliatore a mano di capi in pelle
addetto al taglio pelli a mano
tagliatore a mano di articoli di pelletteria
addetto al taglio con fustelle
tagliatrice a mano di capi in pelle
tagliatrice a mano di articoli di pelletteria
addetta al taglio con fustelle
addetta al taglio pelli a mano
operaio taglio con fustelle
operaia taglio con fustelle",
Occupation,http://data.europa.eu/esco/occupation/1d196f32-05ca-4ea5-a347-4fccbb3da863,7421,tecnico elettronica navale,tecnico apparecchiature elettroniche ed elettriche per l’ausilio alla navigazione,
Occupation,http://data.europa.eu/esco/occupation/1d4a4baf-4073-43bd-ac72-ff7d443273ff,2659,deejay,"diskjokey
DJ",
Occupation,http://data.europa.eu/esco/occupation/1d6fbb43-f4c7-4839-8099-55eae5d424a5,3343,assistente alla raccolta fondi,"addetto alla raccolta fondi
addetta alla raccolta fondi",
Occupation,http://data.europa.eu/esco/occupation/1d70e660-1114-41c6-926a-053541460d88,7319,specialista in riparazioni di attrezzature sportive,"riparatore attrezzature sportive
tecnico riparatore di attrezzature sportive
riparatrice attrezzature sportive
manutentore di articoli sportivi
manutentrice di articoli sportivi",
Occupation,http://data.europa.eu/esco/occupation/1d75ea5a-f902-4b47-8d63-5c6d2a5c0bb5,2263,ergonomo,consulente in ergonomia,
Occupation,http://data.europa.eu/esco/occupation/1d8545df-e3d8-4ece-9449-0f2940e97e7c,7223,operatore di smerigliatrice/operatrice di smerigliatrice,"operatrice di rettificatrice
operatrice su macchina satinatrice
operatore di levigatrice CNC
operatrice di levigatrice CNC
operatore di rettificatrice
operatore di smerigliatrice
operatrice di smerigliatrice
operatore su macchina satinatrice",
Occupation,http://data.europa.eu/esco/occupation/1d8f8111-79dd-41dc-aa2a-12f3192dde3c,2163,designer automobilistico/designer automobilistica,"disegnatrice automolistica
designer di automobili
designer automobilistica
designer automobilistico
disegnatore di prototipi auto
disegnatore automobilistico",
Occupation,http://data.europa.eu/esco/occupation/1da55a33-09b3-4ac7-818e-2a0fea68cecc,3339,agente letterario/agente letteraria,"agente letteraria
direttore editoriale
agente letterario
direttrice editoriale",
Occupation,http://data.europa.eu/esco/occupation/1dd7c3cb-2d58-4dad-ae15-c9081174ab7e,1221,responsabile delle vendite online,"direttore di e-commerce
responsabile delle vendite digitali
responsabile delle vendite web
direttrice di e-commerce
responsabile della vendita per corrispondenza",
Occupation,http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,0210,ufficiale delle forze speciali,"ufficiale dell'aeronautica militare
ufficiale dell'intelligence
ufficiale dell'esercito
ufficiale di marina
ufficiale dell'antiterrorismo
ufficiale della marina militare",
Occupation,http://data.europa.eu/esco/occupation/1de948c1-192a-4810-afb7-48548217a912,8343,operatore di gru industriali/operatrice di gru industriali,"operatore di gru a bandiera
operatore di gru a cavalletto
operatrice di gru industriali
operatrice di gru a bandiera
operatore di gru industriali
operatrice di gru bitrave
operatore di gru bitrave
operatrice di gru a cavalletto",
