conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/0e68f523-3206-4896-b725-44150dd22057,3122,υπεύθυνος παραγωγής δερμάτινων ειδών/υπεύθυνη παραγωγής δερμάτινων ειδών,"υπεύθυνος παραγωγής δερμάτινων ειδών
υπεύθυνη παραγωγής δερμάτινων ειδών",,released,2017-01-17T11:54:07Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι υπεύθυνοι παραγωγής δερμάτινων ειδών παρακολουθούν και συντονίζουν τις καθημερινές δραστηριότητες μιας μονάδας παραγωγής δερμάτινων ειδών. Εποπτεύουν τον έλεγχο ποιότητας και διευθύνουν το προσωπικό παραγωγής δερμάτινων ειδών. Στα καθήκοντά τους περιλαμβάνεται επίσης η οργάνωση της ροής εργασιών, καθώς και η διαχείριση του σχεδίου και του κόστους παραγωγής.",3122.4.8
Occupation,http://data.europa.eu/esco/occupation/0e99c929-364f-4b0a-8a64-2aab42420f00,2149,μηχανικός ανανεώσιμων πηγών ενέργειας,μηχανικός δικτύων ανανεώσιμης ενέργειας,,released,2017-01-13T11:40:31Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Οι μηχανικοί ανανεώσιμων πηγών ενέργειας ερευνούν εναλλακτικές πηγές ενέργειας προκειμένου να σχεδιάζουν συστήματα παραγωγής ενέργειας από ανανεώσιμες πηγές. Επιδιώκουν να βελτιστοποιούν την παραγωγή ενέργειας από ανανεώσιμες πηγές και να μειώνουν τις δαπάνες παραγωγής και την επιβάρυνση του περιβάλλοντος. Σχεδιάζουν συστήματα που εστιάζουν στην ενεργειακή βιωσιμότητα και την ενεργειακή απόδοση.,2149.7.3
Occupation,http://data.europa.eu/esco/occupation/0ea36a48-a27d-4515-b61f-3cab395cf60f,3114,τεχνικός μικροηλεκτρονικής,"τεχνολόγος μικροηλεκτρονικών συστημάτων
τεχνολόγος μικροηλεκτρονικού εξοπλισμού
τεχνικός μικροηλεκτρονικού εξοπλισμού
τεχνικός μικροηλεκτρονικών συστημάτων
βοηθός μηχανικού μικροηλεκτρονικής
τεχνολόγος μικροηλεκτρονικής",,released,2017-01-26T11:52:45Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί μικροηλεκτρονικής συνεργάζονται με μηχανικούς μικροηλεκτρονικής για την ανάπτυξη μικρών ηλεκτρονικών συσκευών και εξαρτημάτων, όπως οι μικροεπεξεργαστές, τα τσιπ μνήμης και τα ολοκληρωμένα κυκλώματα για ελέγχους μηχανών και κινητήρων. Οι τεχνικοί μικροηλεκτρονικής είναι υπεύθυνοι για την κατασκευή, τη δοκιμή και τη συντήρηση των μικροηλεκτρονικών συστημάτων και συσκευών.",3114.1.6
Occupation,http://data.europa.eu/esco/occupation/0ea5fdff-074c-4094-98b9-04432361e4d9,8343,χειριστής πυργογερανών/χειρίστρια πυργογερανών,"χειρίστρια πυργογερανών
χειριστής πυργογερανών",,released,2016-07-05T15:43:05Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι χειριστές πυργογερανών εργάζονται με πυργογερανούς, δηλαδή ψηλούς γερανούς εξισορρόπησης που αποτελούνται από μια οριζόντια μπούμα τοποθετημένη σε έναν κάθετο ιστό, μαζί με τους αναγκαίους κινητήρες και το άγκιστρο ανύψωσης που συνδέεται με τη μπούμα. Οι χειριστές ελέγχουν τον γερανό μέσα από καμπίνες ή με ασύρματο χειριστήριο.",8343.5
Occupation,http://data.europa.eu/esco/occupation/0ec62c2e-30c9-434e-bf36-5277a0840450,7231,τεχνικός ανακαίνισης οχημάτων,τεχνικός επανεξοπλισμού,,released,2016-12-22T11:39:33Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί ανακαίνισης οχημάτων επιδιορθώνουν και βελτιώνουν εσωτερικά εξαρτήματα οχημάτων, όπως εξαρτήματα κινητήρων και αντλίες ντίζελ.",7231.4
Occupation,http://data.europa.eu/esco/occupation/0ecedad1-1144-45ff-83db-a3c4db393036,2412,διαχειριστής επενδύσεων/διαχειρίστρια επενδύσεων,"διαχειριστής επενδύσεων
διαχειρίστρια επενδύσεων",,released,2017-01-17T13:09:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι διαχειριστές επενδύσεων διαχειρίζονται το χαρτοφυλάκιο επενδύσεων μιας εταιρείας. Παρακολουθούν στενά τις επενδύσεις και αναζητούν τις πλέον αποδοτικές λύσεις σε χρηματοπιστωτικά προϊόντα ή τίτλους. Αναλύουν τη συμπεριφορά των χρηματοπιστωτικών αγορών, τα επιτόκια και τη θέση των εταιρειών προκειμένου να παρέχουν συμβουλές σχετικά με τους κινδύνους και τις προοπτικές απόδοσης για τον πελάτη.",2412.5.3
Occupation,http://data.europa.eu/esco/occupation/0ededdc2-050a-4ec3-8e70-6295105fcd19,5244,υπάλληλος τηλεφωνικού κέντρου πελατών,,,released,2016-11-18T13:57:44Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι υπάλληλοι τηλεφωνικού κέντρου πελατών χειρίζονται τις εισερχόμενες ή εξερχόμενες κλήσεις πελατών σε μια επιχείρηση. Καλούν υφιστάμενους και υποψήφιους πελάτες, για να προωθήσουν αγαθά και υπηρεσίες. Επίσης, πραγματοποιούν πωλήσεις και οργανώνουν επισκέψεις πωλήσεων.",5244.1
Occupation,http://data.europa.eu/esco/occupation/0ee5a71a-3c85-48af-bf81-824d3561737a,6129,εκτροφέας γουνοφόρων ζώων,"εκτροφείς ζώων για τη γούνα τους
εκτροφείς γουνοφόρων ζώων",,released,2016-07-05T13:33:09Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι εκτροφείς γουνοφόρων ζώων επιβλέπουν την παραγωγή γουνοφόρων ζώων και την καθημερινή φροντίδα τους, και μεριμνούν για τη διατήρηση της υγείας και της καλής διαβίωσής τους.",6129.1
Occupation,http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,1111,γενικός γραμματέας υπουργείου/γενική γραμματέας υπουργείου,"γενική γραμματέας
γενικός γραμματέας υπουργείου
γενικός γραμματέας
γενική γραμματέας υπουργείου",,released,2016-07-05T16:18:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι γενικοί γραμματείς υπουργείων βοηθούν τους προϊσταμένους των κρατικών υπηρεσιών, όπως είναι οι υπουργοί, και συνδράμουν στην επίβλεψη των διαδικασιών της κρατικής υπηρεσίας. Βοηθούν στην καθοδήγηση των πολιτικών, των επιχειρήσεων και του προσωπικού των υπηρεσιών, και εκτελούν καθήκοντα προγραμματισμού, κατανομής πόρων και λήψης αποφάσεων.",1111.6
Occupation,http://data.europa.eu/esco/occupation/0eebf6d2-af43-4a18-b4b7-668fb6433b42,3435,μηχανικός φωτισμού συναυλιών,"τεχνικός ευφυούς φωτισμού
τεχνικός φωτισμού συναυλιών",,released,2017-02-02T12:59:08Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι μηχανικοί φωτισμού συναυλιών εγκαθιστούν, προετοιμάζουν, ελέγχουν και συντηρούν ψηφιακό και αυτοματοποιημένο εξοπλισμό φωτισμού, ώστε να παρέχουν τη βέλτιστη ποιότητα φωτισμού σε μια ζωντανή εμφάνιση. Συνεργάζονται με τους τεχνικούς των καλλιτεχνών για την εκφόρτωση, εγκατάσταση και λειτουργία του εξοπλισμού και των οργάνων φωτισμού.",3435.12.1
