conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/7005c266-d1a9-42ac-8c36-b42d5d755463,5329,fertőtlenítő sterilező,eszközfertőtlenítő technikus,fertőtlenítő nővér,released,2017-01-26T12:55:14Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A fertőtlenítő sterilezők gondoskodnak az orvostechnikai eszközök szigorú higiéniai eljárásoknak megfelelő fertőtlenítéséről. A több alkatrészből álló orvosi berendezéseket továbbfelhasználás céljából orvos vagy egyéb egészségügyi szakember által adott utasításokat követve szétszerelik és újra összeállítjaák a sterilizálás, tisztítás és újracsomagolás során.",5329.3
Occupation,http://data.europa.eu/esco/occupation/70182f44-e444-4bf3-940f-0c054c1d5917,2149,ruhaipari kutató,"textilipari kutató
vegyészmérnök
bőripari kutató",,released,2016-07-05T17:01:38Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A ruhaipari kutatók ötvözik az anyagtudomány, a kémia, a fizika, a feldolgozó technológiák, az irányítás és a műszaki tudományok ismereteit, hozzájárulva a textilek, ruházati termékek, bőráruk és lábbelik területén megvalósuló jövőbeli innovációkhoz. Több tudományágat átfogó projektekben működnek közre annak érdekében, hogy a különféle tudományos területek eredményeit ötvözzék a termékfejlesztés során.",2149.15
Occupation,http://data.europa.eu/esco/occupation/701f9161-72e4-4ff3-a9e8-8e6352664ef0,5164,szarvasmarha-körmöző,"szavasmarha csülökápoló
funkcionális csülökkörmöző szakember
csülökkörmöző specialista
szarvasmarha-csülökkörmöző szakemberek
pataápolással foglalkozó szakember
szarvasmarha körömápoló
szarvasmarha csülökkörmöző szakember",,released,2016-07-05T13:29:14Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",A szarvasmarha-körmözők a szarvasmarhák patájának a nemzeti hatóság által előírt követelmények szerinti ápolásával foglalkozó szakemberek.  ,5164.5
Occupation,http://data.europa.eu/esco/occupation/7052fd94-f563-46a9-8e2d-cba6c20f3e71,7413,villamoshálózati-légvezetékszerelő,"villanyszerelő
kábelszerelő
légvezeték-szerelő
felsővezeték-szerelő
középfeszültségűkábel-szerelő","légvezeték szerelő
légvezetékszerelő
villamoshálózati légvezeték-szerelő",released,2016-07-05T16:04:15Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",A villamoshálózati-légvezetékszerelők villamoshálózati kábeleket és vezérlőkábeleket építenek ki és tartanak karban a légvezetékekben. Ezenkívül az elektromos vezetékek villamosenergia-hálózathoz való csatlakoztatását és azok javítását is elvégzik.,7413.1.2
Occupation,http://data.europa.eu/esco/occupation/706e8b26-befb-429b-b71d-f72fad1bae12,8160,blansírozást végző szakember,"mandulahántoló gépkezelő
blansírozó
blansírozás irányítója
mandulahántoló
blansírozó berendezés kezelője",,released,2016-07-05T16:55:54Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A blansírozást végző szakember eltávolítja a mandulák és általában a mogyorók külső borítását vagy héját. Eltávolítják a leveleket és szennyeződéseket a nyersanyagokról, és szabályozzák a dió, mogyoró, magok és/vagy levelek áramlását. Szükség esetén nyomást és hőmérsékletet alkalmaznak a nyersanyag blansírozására.",8160.4
Occupation,http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,2519,adatminőség-elemző,"adatminőségi szakértő
adatminőség-elemzők
adatminőség biztosító",,released,2017-01-12T14:17:46Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Az adatminőség-elemzők felülvizsgálják a szervezet adatainak pontosságát, ajánlásokat tesznek a nyilvántartási rendszerek és az adatgyűjtési eljárások javítására vonatkozóan, valamint értékelik az adatok hivatkozási és történelmi integritását. Emellett dokumentumokat dolgoznak ki és adatminőségi célokat és normákat tartanak fenn, valamint felügyelik a szervezet adatvédelmi politikáját, és nyomon követik az adatáramlások adatminőségi előírások szerinti megfelelőségét.",2519.1
Occupation,http://data.europa.eu/esco/occupation/709170ae-2b9a-4e7a-8201-260da7211898,8160,halkonzervipari gépkezelő,"halkonzervipari gépek kezelője
halkonzervipari gépkezelők
konzervipari technikus",,released,2016-07-05T17:07:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A halkonzervipari gépkezelők sós lében pácolják, főzik és csomagolják a halakat. Sterilizálják a halkonzerváló gyártósorokat, és beöntik a halakat a tartályba a fej és belső szervek eltávolítását követően. A tűzhelyeket üzemeltetnek a halak előmelegítésére, és a konzervdobozokat kézzel vagy géppel töltik meg hallal, olívaolajjal vagy más termékekkel.",8160.31
Occupation,http://data.europa.eu/esco/occupation/70b5896f-988e-4084-9c19-2c82bd5cc9a5,2642,sportújságíró,"tudósító
újságíró
sportkommentátor
sporttudósító
riporter
sportriporter",,released,2016-07-05T13:47:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A sportújságírók kutatásokat végeznek és sporteseményekről és sportolókról szóló cikkeket írnak újságok, magazinok, televíziócsatornák és egyéb sajtóorgánumok számára. Interjúkat készítenek és rendezvényeken vesznek részt.",2642.1.16
Occupation,http://data.europa.eu/esco/occupation/7109cdfd-1618-43b6-8317-8dc90fa583e6,8172,fapelletkészítő gép kezelője,,,released,2016-07-05T16:56:27Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A fapelletkészítő gép kezelői egy kalapácsos malmot működtetnek, amely a fahulladék-termékeket tüzelőanyagként való felhasználásra szánt pelletté alakítja. A megőrölt terméket eztán egy öntvényen préselik keresztül, kialakítva a pellet szabványosított alakját és méretét.",8172.6
Occupation,http://data.europa.eu/esco/occupation/7153a12d-85e0-4123-87e9-46bb1a2dc929,4221,utaskiszolgálási ügyintéző,"check in agent
ground attendant","ground steward
ground stewardess",released,2017-01-18T16:59:44Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Az utaskiszolgálási ügyintézők a vonatra szállás előtt segítik a vasúti utazóközönséget. Beszállítják az utasokat, és olyan ügyfélszolgálati feladatokat is ellátnak, mint a vonatjegyek foglalása, valamint az utasok segítése késés vagy járattörlés esetén járó visszatérítés igénylése.",4221.1
